epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6127,1.05073,1.41674,1.06171,0.67357,0.80473,0.63947,0.43366,1.10436,1.83182,1.12305,0.000658824,0.000658824,0.000658824
2,97.3398,1.0278,0.83982,1.0599,0.00012,0.02367,6e-05,1e-05,4.19721,9.39892,8.01316,0.00119427,0.00119427,0.00119427
3,144.5,1.0251,0.81879,1.07508,0.93389,0.83592,0.92732,0.6262,1.13704,1.27071,1.12867,0.00159771,0.00159771,0.00159771
4,196.736,0.99663,0.74795,1.05395,0.6225,0.49112,0.5306,0.35826,1.26092,1.63687,1.2864,0.001406,0.001406,0.001406
5,243.93,0.92284,0.64573,1.01602,0.96184,0.89493,0.96799,0.7249,1.0076,0.73917,1.05521,0.001208,0.001208,0.001208
6,295.879,0.8935,0.59793,0.99542,0.95313,0.91716,0.97698,0.74379,0.86428,0.67533,0.98955,0.00101,0.00101,0.00101
7,349.639,0.80112,0.5495,0.95086,0.98389,0.94083,0.9827,0.73492,0.91631,0.56141,1.02069,0.000812,0.000812,0.000812
8,396.9,0.7537,0.48739,0.93245,0.974,0.9645,0.99139,0.79309,0.82002,0.49225,0.96701,0.000614,0.000614,0.000614
9,446.733,0.72889,0.45589,0.91444,0.99385,0.95688,0.98982,0.79404,0.78819,0.48329,0.94615,0.000416,0.000416,0.000416
10,498.398,0.6775,0.41511,0.89837,0.9851,0.9645,0.9933,0.82002,0.70781,0.4234,0.92431,0.000218,0.000218,0.000218
